post_id,user_id,post_type,post_text,visible,post_date,post_time
59,59,Story,smile because it happened.,1,2024-01-12,7:41
60,60,Story,The sky is blue and the sun is shining.,0,2024-02-21,18:19
61,61,Story,The greatest glory in living lies not in never falling,0,2024-01-03,6:05
62,62,Message,we only regret the chances we didn't take.,1,2024-01-12,6:07
63,63,Story,Success is walking from failure to failure with no loss of enthusiasm.,0,2024-02-09,5:39
64,64,Story,Every day may not be good,1,2024-01-29,16:50
65,65,Message,but there's something good in every day.,0,2024-01-22,15:54
66,66,Message,but so are you.,0,2024-01-26,18:41
67,67,Message,Life is not about waiting for the storm to pass,1,2024-01-27,20:34
68,68,Message,In the end,0,2024-01-24,21:07
69,69,Story,The only thing standing between you and your goal is the story you keep telling yourself as to why you can't achieve it.,0,2024-01-10,5:19
70,70,Message,The sky is blue and the sun is shining.,0,2024-01-01,4:16
71,71,Message,Lorem ipsum dolor sit amet,0,2024-02-02,0:41
72,72,Story,The only way to achieve the impossible is to believe it is possible.,1,2024-01-28,5:32
73,73,Story,The world is full of beauty and wonder.,1,2024-02-20,5:14
74,74,Message,The best way to predict the future is to create it.,1,2024-02-07,7:23
75,75,Story,Dream big and work hard to make it happen.,0,2024-01-30,12:52
76,76,Story,The best time to plant a tree was 20 years ago. The second best time is now.,0,2024-01-23,8:11
77,77,Story,The early bird catches the worm.,0,2024-02-20,21:00
78,78,Message,In the end,0,2024-01-28,13:06
79,79,Story,Dream big and work hard to make it happen.,1,2024-02-02,10:41
80,80,Message,consectetur adipiscing elit.,1,2024-02-07,15:37
81,81,Story,Success is walking from failure to failure with no loss of enthusiasm.,0,2024-02-26,7:07
82,82,Message,Happiness is a choice,0,2024-02-13,2:57
83,83,Story,In the end,0,2024-02-13,0:16
84,84,Story,Life is a journey,0,2024-02-13,7:59
85,85,Message,The greatest glory in living lies not in never falling,1,2024-01-02,19:24
86,86,Story,The only way to do great work is to love what you do.,1,2024-01-28,12:03
87,87,Story,Success is walking from failure to failure with no loss of enthusiasm.,0,2024-01-31,16:09
88,88,Message,Life is not about waiting for the storm to pass,0,2024-01-11,3:53
89,89,Message,Life is like a box of chocolates,1,2024-02-08,15:53
90,90,Story,The only limit to our realization of tomorrow will be our doubts of today.,0,2024-01-21,1:40
91,91,Message,Life is a journey,1,2024-02-10,5:46
92,92,Message,Every day may not be good,0,2024-02-13,2:21
93,93,Story,The only thing standing between you and your goal is the story you keep telling yourself as to why you can't achieve it.,0,2024-01-28,0:08
94,94,Message,The future belongs to those who believe in the beauty of their dreams.,1,2024-01-19,3:24
95,95,Story,but learning to dance in the rain.,0,2024-01-30,18:40
96,96,Story,You are braver than you believe,1,2024-01-04,5:33
97,97,Story,Life is like a box of chocolates,1,2024-01-31,6:48
98,98,Story,The best time to plant a tree was 20 years ago. The second best time is now.,0,2024-01-06,9:11
99,99,Message,The only way to achieve the impossible is to believe it is possible.,0,2024-02-07,7:33
100,100,Story,The only way to achieve the impossible is to believe it is possible.,0,2024-02-18,6:40
101,101,Message,Life is not about waiting for the storm to pass,1,2024-01-29,17:51
102,102,Message,Actions speak louder than words.,1,2024-01-21,4:56
103,103,Message,take the moment and make it perfect.,0,2024-01-12,8:02
104,104,Story,but there's something good in every day.,0,2024-01-20,6:14
105,105,Message,make it sweet.,1,2024-01-29,9:15
106,106,Message,The only way to achieve the impossible is to believe it is possible.,1,2024-02-04,6:14
107,107,Story,The only thing standing between you and your goal is the story you keep telling yourself as to why you can't achieve it.,0,2024-02-07,3:00
108,108,Story,The future belongs to those who believe in the beauty of their dreams.,0,2024-02-26,2:57
109,109,Message,In the end,0,2024-02-03,17:42
110,110,Story,everyone else is already taken.,0,2024-02-10,6:50
111,111,Story,failure is not fatal: It is the courage to continue that counts.,0,2024-01-31,8:38
112,112,Story,Life is short,1,2024-01-25,2:33
113,113,Message,Success is not final,1,2024-02-12,7:01
114,114,Message,not a destination.,0,2024-02-03,7:59
115,115,Message,failure is not fatal: It is the courage to continue that counts.,1,2024-01-11,11:19
116,116,Message,Success is not final,1,2024-02-12,22:57
117,117,Story,Lorem ipsum dolor sit amet,1,2024-02-26,8:11
118,118,Message,You are never too old to set another goal or to dream a new dream.,1,2024-01-10,0:26
119,119,Story,take the moment and make it perfect.,1,2024-02-20,10:23
120,120,Message,Don't cry because it's over,1,2024-02-04,0:47
121,121,Message,Don't cry because it's over,1,2024-02-17,21:49
122,122,Message,I love to eat pizza with extra cheese.,0,2024-02-15,22:14
123,123,Story,The early bird catches the worm.,0,2024-01-25,5:35
124,124,Story,Don't cry because it's over,0,2024-01-11,4:37
125,125,Message,Life is what happens when you're busy making other plans.,0,2024-01-31,3:22
126,126,Story,stronger than you seem,1,2024-01-10,23:08
127,127,Message,The only way to do great work is to love what you do.,0,2024-02-08,3:18
128,128,Story,Lorem ipsum dolor sit amet,0,2024-02-13,20:05
129,129,Story,make it sweet.,1,2024-01-31,17:17
130,130,Message,In the end,0,2024-01-12,5:26
131,131,Story,Life is what happens when you're busy making other plans.,1,2024-02-02,19:08
132,132,Message,Don't cry because it's over,1,2024-01-15,21:43
133,133,Story,The future belongs to those who believe in the beauty of their dreams.,1,2024-02-18,20:22
134,134,Story,stronger than you seem,0,2024-02-12,14:50
135,135,Story,and smarter than you think.,1,2024-02-14,6:41
136,136,Message,consectetur adipiscing elit.,1,2024-01-05,4:33
137,137,Story,but so are you.,0,2024-02-14,6:28
138,138,Message,The early bird catches the worm.,1,2024-01-31,17:16
139,139,Message,Life is not about waiting for the storm to pass,0,2024-01-22,12:53
140,140,Story,Don't wait for the perfect moment,1,2024-01-30,7:38
141,141,Message,Life is a journey,1,2024-02-19,19:49
142,142,Story,The greatest glory in living lies not in never falling,0,2024-01-25,21:23
143,143,Story,The future belongs to those who believe in the beauty of their dreams.,0,2024-01-10,11:11
144,144,Message,The future belongs to those who believe in the beauty of their dreams.,1,2024-02-15,5:33
145,145,Story,The only way to achieve the impossible is to believe it is possible.,0,2024-02-17,2:15
146,146,Story,but learning to dance in the rain.,1,2024-01-25,23:26
147,147,Message,Life is what happens when you're busy making other plans.,0,2024-02-08,23:11
148,148,Message,The only thing standing between you and your goal is the story you keep telling yourself as to why you can't achieve it.,0,2024-01-10,22:28
149,149,Story,You are never too old to set another goal or to dream a new dream.,1,2024-02-15,19:11
150,150,Message,Success is not final,1,2024-02-10,21:11
151,151,Story,stronger than you seem,0,2024-01-30,12:56
152,152,Story,Don't be pushed around by the fears in your mind. Be led by the dreams in your heart.,1,2024-01-25,22:24
153,153,Story,The only way to do great work is to love what you do.,0,2024-01-22,8:49
154,154,Story,The future belongs to those who believe in the beauty of their dreams.,1,2024-02-14,16:38
155,155,Story,You are never too old to set another goal or to dream a new dream.,0,2024-01-23,5:45
156,156,Story,The best way to predict the future is to create it.,0,2024-02-26,19:50
157,157,Story,The only thing standing between you and your goal is the story you keep telling yourself as to why you can't achieve it.,0,2024-01-22,6:19
158,158,Story,but there's something good in every day.,0,2024-02-26,13:43
159,159,Message,stronger than you seem,1,2024-02-20,12:23
160,160,Message,Happiness is a choice,1,2024-01-15,10:19
161,161,Story,Life is a journey,0,2024-01-29,0:33
162,162,Message,The only way to achieve the impossible is to believe it is possible.,1,2024-01-25,19:40
163,163,Message,Actions speak louder than words.,0,2024-02-26,22:32
164,164,Story,take the moment and make it perfect.,1,2024-01-12,2:49
165,165,Message,Don't wait for the perfect moment,0,2024-01-05,7:18
166,166,Story,Believe you can and you're halfway there.,0,2024-01-26,14:11
167,167,Story,take the moment and make it perfect.,1,2024-02-04,10:57
168,168,Message,but learning to dance in the rain.,1,2024-01-08,0:33
169,169,Story,The world is full of beauty and wonder.,1,2024-01-15,12:40
170,170,Story,The only way to achieve the impossible is to believe it is possible.,0,2024-01-13,6:03
171,171,Message,Don't be pushed around by the fears in your mind. Be led by the dreams in your heart.,0,2024-01-08,0:27
172,172,Message,The only thing standing between you and your goal is the story you keep telling yourself as to why you can't achieve it.,0,2024-02-04,1:46
173,173,Story,In the end,0,2024-02-10,23:20
174,174,Story,not a destination.,1,2024-01-26,23:43
175,175,Message,Coding is fun and challenging at the same time.,1,2024-01-11,15:57
176,176,Story,smile because it happened.,1,2024-02-05,13:25
177,177,Message,stronger than you seem,1,2024-02-19,3:46
178,178,Story,you never know what you're gonna get.,1,2024-01-13,22:07
179,179,Message,but there's something good in every day.,0,2024-02-19,15:18
180,180,Message,The sky is blue and the sun is shining.,0,2024-02-22,12:29
181,181,Message,consectetur adipiscing elit.,0,2024-01-10,10:37
182,182,Story,everyone else is already taken.,1,2024-01-16,1:41
183,183,Message,Success is walking from failure to failure with no loss of enthusiasm.,1,2024-02-16,7:09
184,184,Message,You miss 100% of the shots you don't take.,0,2024-02-26,9:48
185,185,Message,Actions speak louder than words.,1,2024-02-06,23:45
186,186,Message,take the moment and make it perfect.,0,2024-01-31,6:26
187,187,Story,you never know what you're gonna get.,1,2024-02-17,9:24
188,188,Story,I love to eat pizza with extra cheese.,0,2024-02-02,23:44
189,189,Message,Don't be pushed around by the fears in your mind. Be led by the dreams in your heart.,0,2024-02-08,21:25
190,190,Message,The only person you should try to be better than is the person you were yesterday.,0,2024-02-08,8:19
191,191,Story,Dream big and work hard to make it happen.,1,2024-02-08,10:44
192,192,Story,Life is not about waiting for the storm to pass,0,2024-02-19,8:57
193,193,Story,everyone else is already taken.,0,2024-02-05,20:44
194,194,Story,I love to eat pizza with extra cheese.,0,2024-02-03,7:45
195,195,Story,Life is 10% what happens to us and 90% how we react to it.,1,2024-01-20,1:07
196,196,Story,choose wisely.,1,2024-01-26,2:58
197,197,Message,Life is short,0,2024-01-14,9:00
198,198,Story,Happiness is a choice,1,2024-01-18,10:43
199,199,Story,Don't cry because it's over,0,2024-01-21,10:16
200,200,Story,not a destination.,1,2024-01-17,0:18
201,201,Message,You are never too old to set another goal or to dream a new dream.,0,2024-01-18,8:24
202,202,Message,The only way to do great work is to love what you do.,0,2024-01-31,20:43
203,203,Story,Life is like a box of chocolates,1,2024-01-14,20:07
204,204,Story,Success is not final,1,2024-01-27,13:03
205,205,Message,consectetur adipiscing elit.,0,2024-02-27,17:58
206,206,Story,I love to eat pizza with extra cheese.,1,2024-02-17,6:00
207,207,Message,Be yourself,1,2024-01-22,18:48
208,208,Story,Lorem ipsum dolor sit amet,1,2024-02-05,21:00
209,209,Message,consectetur adipiscing elit.,1,2024-01-10,13:44
210,210,Message,but there's something good in every day.,0,2024-02-21,6:50
211,211,Message,The only person you should try to be better than is the person you were yesterday.,0,2024-01-19,2:50
212,212,Story,The quick brown fox jumps over the lazy dog.,0,2024-01-20,9:00
213,213,Message,you never know what you're gonna get.,1,2024-02-05,11:10
214,214,Message,The only way to do great work is to love what you do.,0,2024-01-15,7:17
215,215,Message,The world is full of beauty and wonder.,1,2024-02-12,0:25
216,216,Story,The best way to predict the future is to create it.,0,2024-02-24,20:34
217,217,Story,but in rising every time we fall.,0,2024-01-03,1:18
218,218,Message,The only limit to our realization of tomorrow will be our doubts of today.,0,2024-02-26,12:18
219,219,Story,You miss 100% of the shots you don't take.,1,2024-01-13,6:21
220,220,Message,Success is walking from failure to failure with no loss of enthusiasm.,1,2024-02-19,3:04
221,221,Story,In the end,0,2024-01-31,21:38
222,222,Story,You miss 100% of the shots you don't take.,0,2024-01-19,23:14
223,223,Story,and smarter than you think.,1,2024-01-26,17:28
224,224,Story,The world is full of beauty and wonder.,1,2024-01-18,1:36
225,225,Story,I love to eat pizza with extra cheese.,1,2024-01-13,12:32
226,226,Story,Life is what happens when you're busy making other plans.,0,2024-01-15,9:47
227,227,Story,failure is not fatal: It is the courage to continue that counts.,1,2024-01-30,16:28
228,228,Story,Life is short,1,2024-02-01,0:08
229,229,Story,Life is tough,0,2024-01-27,13:29
230,230,Story,stronger than you seem,1,2024-02-20,15:08
231,231,Message,The only thing standing between you and your goal is the story you keep telling yourself as to why you can't achieve it.,0,2024-02-06,17:22
232,232,Story,Happiness is a choice,0,2024-01-02,10:14
233,233,Message,choose wisely.,1,2024-01-14,11:39
234,234,Message,Success is not final,0,2024-01-09,17:12
235,235,Message,Success is not final,0,2024-02-25,9:50
236,236,Message,Be yourself,1,2024-02-26,15:11
237,237,Message,but in rising every time we fall.,1,2024-01-17,16:20
238,238,Message,Success is not final,1,2024-01-12,16:22
239,239,Message,but learning to dance in the rain.,0,2024-01-04,18:10
240,240,Story,Actions speak louder than words.,0,2024-01-30,0:52
241,241,Story,You are braver than you believe,1,2024-01-13,16:30
242,242,Story,Life is like a box of chocolates,0,2024-02-06,15:50
243,243,Story,Actions speak louder than words.,1,2024-01-28,2:23
244,244,Message,and smarter than you think.,1,2024-01-24,3:45
245,245,Story,Happiness is a choice,1,2024-02-06,16:03
246,246,Message,The only thing standing between you and your goal is the story you keep telling yourself as to why you can't achieve it.,0,2024-02-17,20:10
247,247,Story,The greatest glory in living lies not in never falling,1,2024-01-16,0:03
248,248,Story,stronger than you seem,1,2024-01-26,12:29
249,249,Story,choose wisely.,1,2024-02-03,17:00
250,250,Story,Success is walking from failure to failure with no loss of enthusiasm.,0,2024-02-10,9:20
251,251,Message,Don't be pushed around by the fears in your mind. Be led by the dreams in your heart.,1,2024-02-14,9:30
252,252,Message,The only thing standing between you and your goal is the story you keep telling yourself as to why you can't achieve it.,1,2024-02-18,10:47
253,253,Story,Life is not about waiting for the storm to pass,0,2024-01-19,22:45
254,254,Message,but there's something good in every day.,0,2024-01-16,15:20
255,255,Message,Success is not final,1,2024-02-26,12:25
256,256,Story,Lorem ipsum dolor sit amet,0,2024-02-27,22:47
257,257,Story,The sky is blue and the sun is shining.,0,2024-02-07,6:11
258,258,Story,you never know what you're gonna get.,1,2024-01-12,17:23
259,259,Message,The sky is blue and the sun is shining.,1,2024-02-15,10:42
260,260,Message,The only thing standing between you and your goal is the story you keep telling yourself as to why you can't achieve it.,0,2024-01-06,9:49
261,261,Message,Life is what happens when you're busy making other plans.,0,2024-01-04,10:15
262,262,Message,The greatest glory in living lies not in never falling,0,2024-01-15,19:18
263,263,Message,Life is short,0,2024-01-31,7:41
264,264,Story,Dream big and work hard to make it happen.,0,2024-01-29,10:40
265,265,Story,Lorem ipsum dolor sit amet,0,2024-02-09,16:14
266,266,Message,The future belongs to those who believe in the beauty of their dreams.,0,2024-01-11,0:10
267,267,Story,Dream big and work hard to make it happen.,0,2024-02-15,9:50
268,268,Message,In the end,0,2024-01-20,16:15
269,269,Story,Success is walking from failure to failure with no loss of enthusiasm.,1,2024-02-20,15:44
270,270,Story,In the end,1,2024-01-26,4:17
271,271,Story,make it sweet.,0,2024-01-26,3:00
272,272,Story,The only thing standing between you and your goal is the story you keep telling yourself as to why you can't achieve it.,1,2024-02-15,11:08
273,273,Story,but in rising every time we fall.,1,2024-01-20,11:15
274,274,Story,The only thing standing between you and your goal is the story you keep telling yourself as to why you can't achieve it.,1,2024-01-22,12:34
275,275,Story,The only way to achieve the impossible is to believe it is possible.,0,2024-02-23,18:22
276,276,Message,Success is not final,0,2024-02-17,4:11
277,277,Message,Actions speak louder than words.,0,2024-01-01,20:51
278,278,Story,Every day may not be good,1,2024-02-12,16:10
279,279,Message,Don't wait for the perfect moment,1,2024-02-13,22:05
280,280,Story,Don't wait for the perfect moment,1,2024-01-30,8:10
281,281,Message,but there's something good in every day.,1,2024-02-25,21:05
282,282,Story,Life is short,1,2024-01-06,9:12
283,283,Story,smile because it happened.,1,2024-01-02,3:59
284,284,Message,Life is 10% what happens to us and 90% how we react to it.,1,2024-01-28,19:50
285,285,Story,You miss 100% of the shots you don't take.,0,2024-02-02,2:53
286,286,Message,Every day may not be good,1,2024-01-21,19:10
287,287,Message,Life is 10% what happens to us and 90% how we react to it.,1,2024-01-08,21:33
288,288,Story,The sky is blue and the sun is shining.,0,2024-01-01,11:34
289,289,Story,The only thing standing between you and your goal is the story you keep telling yourself as to why you can't achieve it.,1,2024-01-10,22:58
290,290,Story,The quick brown fox jumps over the lazy dog.,1,2024-02-03,21:06
291,291,Story,but so are you.,0,2024-01-04,20:29
292,292,Story,take the moment and make it perfect.,0,2024-02-14,7:07
293,293,Message,Success is walking from failure to failure with no loss of enthusiasm.,0,2024-01-09,21:49
294,294,Story,but in rising every time we fall.,1,2024-01-05,18:09
295,295,Message,The greatest glory in living lies not in never falling,0,2024-01-19,5:51
296,296,Story,You are never too old to set another goal or to dream a new dream.,1,2024-02-04,9:57
297,297,Story,Life is like a box of chocolates,0,2024-02-06,6:54
298,298,Message,Don't cry because it's over,0,2024-02-20,2:07
299,299,Story,Success is not final,0,2024-02-02,23:58
300,300,Story,In the end,0,2024-01-17,8:13
301,301,Message,consectetur adipiscing elit.,0,2024-02-01,0:42
302,302,Story,Coding is fun and challenging at the same time.,1,2024-02-08,18:12
303,303,Story,everyone else is already taken.,0,2024-01-27,20:33
304,304,Message,everyone else is already taken.,0,2024-02-27,5:11
305,305,Story,Don't cry because it's over,0,2024-01-09,3:28
306,306,Story,Life is what happens when you're busy making other plans.,0,2024-02-06,19:36
307,307,Message,and smarter than you think.,0,2024-01-27,9:36
308,308,Story,The quick brown fox jumps over the lazy dog.,0,2024-02-01,10:06
309,309,Message,Success is not final,0,2024-01-09,7:20
310,310,Message,Success is walking from failure to failure with no loss of enthusiasm.,0,2024-02-06,16:47
311,311,Message,take the moment and make it perfect.,1,2024-01-29,6:56
312,312,Message,choose wisely.,1,2024-02-25,1:06
313,313,Story,choose wisely.,0,2024-01-05,22:05
314,314,Story,Success is walking from failure to failure with no loss of enthusiasm.,0,2024-01-16,22:26
315,315,Story,The sky is blue and the sun is shining.,1,2024-02-06,13:24
316,316,Message,Coding is fun and challenging at the same time.,1,2024-02-17,8:43
317,317,Message,and smarter than you think.,1,2024-02-11,9:48
318,318,Message,The only way to achieve the impossible is to believe it is possible.,0,2024-01-31,21:01
319,319,Message,Happiness is a choice,1,2024-01-31,18:05
320,320,Story,I love to eat pizza with extra cheese.,1,2024-01-18,15:49
321,321,Story,The greatest glory in living lies not in never falling,0,2024-02-12,14:01
322,322,Story,You are braver than you believe,1,2024-02-02,18:59
323,323,Message,The only way to do great work is to love what you do.,1,2024-02-02,6:28
324,324,Message,The only limit to our realization of tomorrow will be our doubts of today.,1,2024-02-12,11:56
325,325,Story,failure is not fatal: It is the courage to continue that counts.,1,2024-02-04,3:46
326,326,Message,Be yourself,0,2024-02-12,18:59
327,327,Story,Life is 10% what happens to us and 90% how we react to it.,1,2024-02-09,21:59
328,328,Story,stronger than you seem,0,2024-01-05,10:23
329,329,Message,everyone else is already taken.,0,2024-01-18,13:33
330,330,Story,everyone else is already taken.,1,2024-01-25,16:06
331,331,Message,The early bird catches the worm.,1,2024-01-13,3:47
332,332,Message,Success is walking from failure to failure with no loss of enthusiasm.,1,2024-02-04,16:41
333,333,Message,Life is a journey,0,2024-02-03,18:17
334,334,Message,You are braver than you believe,0,2024-02-04,12:05
335,335,Story,and smarter than you think.,1,2024-01-07,16:03
336,336,Message,Life is like a box of chocolates,1,2024-01-17,11:25
337,337,Story,Dream big and work hard to make it happen.,1,2024-01-09,13:34
338,338,Message,Lorem ipsum dolor sit amet,0,2024-02-09,9:10
339,339,Story,Believe you can and you're halfway there.,0,2024-02-03,6:33
340,340,Story,Life is not about waiting for the storm to pass,0,2024-01-23,4:00
341,341,Story,Life is 10% what happens to us and 90% how we react to it.,0,2024-01-04,3:10
342,342,Story,The future belongs to those who believe in the beauty of their dreams.,0,2024-02-23,10:37
343,343,Story,make it sweet.,0,2024-01-17,21:30
344,344,Message,You miss 100% of the shots you don't take.,1,2024-01-30,14:17
345,345,Story,choose wisely.,1,2024-02-15,18:19
346,346,Story,Happiness is a choice,1,2024-01-28,11:16
347,347,Story,stronger than you seem,1,2024-01-30,12:33
348,348,Story,The only thing standing between you and your goal is the story you keep telling yourself as to why you can't achieve it.,1,2024-01-12,14:49
349,349,Story,Actions speak louder than words.,0,2024-01-09,23:15
350,350,Message,The quick brown fox jumps over the lazy dog.,1,2024-02-05,12:29
351,351,Story,you never know what you're gonna get.,1,2024-02-20,11:44
352,352,Story,you never know what you're gonna get.,1,2024-02-17,16:03
353,353,Story,Believe you can and you're halfway there.,1,2024-02-07,5:56
354,354,Message,Don't cry because it's over,1,2024-01-19,11:07
355,355,Story,The only person you should try to be better than is the person you were yesterday.,0,2024-02-07,6:52
356,356,Story,you never know what you're gonna get.,1,2024-02-16,0:08
357,357,Story,consectetur adipiscing elit.,0,2024-01-24,22:56
358,358,Story,The greatest glory in living lies not in never falling,1,2024-01-12,15:36
359,359,Message,The only limit to our realization of tomorrow will be our doubts of today.,1,2024-01-15,20:16
360,360,Message,The best way to predict the future is to create it.,1,2024-01-05,14:08
361,361,Message,The quick brown fox jumps over the lazy dog.,1,2024-01-29,11:46
362,362,Message,You miss 100% of the shots you don't take.,1,2024-01-25,7:48
363,363,Message,The world is full of beauty and wonder.,1,2024-01-26,14:49
364,364,Story,Don't be pushed around by the fears in your mind. Be led by the dreams in your heart.,0,2024-02-01,22:43
365,365,Message,Lorem ipsum dolor sit amet,1,2024-01-28,8:45
366,366,Message,Life is 10% what happens to us and 90% how we react to it.,1,2024-01-03,13:37
367,367,Story,Dream big and work hard to make it happen.,0,2024-02-26,17:40
368,368,Message,The sky is blue and the sun is shining.,1,2024-02-24,3:26
369,369,Story,Happiness is a choice,0,2024-02-22,6:50
370,370,Story,The only way to do great work is to love what you do.,0,2024-01-26,3:04
371,371,Message,The only thing standing between you and your goal is the story you keep telling yourself as to why you can't achieve it.,1,2024-02-03,18:46
372,372,Message,You are never too old to set another goal or to dream a new dream.,0,2024-01-06,11:22
373,373,Message,take the moment and make it perfect.,0,2024-01-21,2:15
374,374,Message,smile because it happened.,0,2024-01-05,2:22
375,375,Story,Coding is fun and challenging at the same time.,1,2024-01-27,18:45
376,376,Story,everyone else is already taken.,1,2024-01-18,21:41
377,377,Story,The only person you should try to be better than is the person you were yesterday.,1,2024-02-13,18:18
378,378,Message,take the moment and make it perfect.,1,2024-01-29,15:33
379,379,Story,take the moment and make it perfect.,1,2024-01-27,8:41
380,380,Message,The world is full of beauty and wonder.,1,2024-01-30,18:03
381,381,Story,You miss 100% of the shots you don't take.,0,2024-01-13,2:43
382,382,Story,Life is what happens when you're busy making other plans.,1,2024-02-25,6:51
383,383,Story,Lorem ipsum dolor sit amet,1,2024-01-03,10:21
384,384,Message,You miss 100% of the shots you don't take.,1,2024-02-08,21:57
385,385,Story,Success is walking from failure to failure with no loss of enthusiasm.,1,2024-01-18,6:49
386,386,Story,Dream big and work hard to make it happen.,0,2024-02-23,21:33
387,387,Message,Life is short,1,2024-01-11,11:53
388,388,Story,and smarter than you think.,0,2024-02-03,11:34
389,389,Message,Happiness is a choice,0,2024-01-01,15:32
390,390,Story,The best time to plant a tree was 20 years ago. The second best time is now.,0,2024-01-21,12:38
391,391,Story,but so are you.,0,2024-02-27,1:55
392,392,Story,Success is not final,1,2024-01-22,5:17
393,393,Message,Success is walking from failure to failure with no loss of enthusiasm.,0,2024-01-31,17:54
394,394,Message,In the end,1,2024-02-22,20:38
395,395,Message,but learning to dance in the rain.,0,2024-01-16,4:38
396,396,Message,The sky is blue and the sun is shining.,1,2024-02-16,15:57
397,397,Story,smile because it happened.,1,2024-01-16,20:43
398,398,Story,Life is 10% what happens to us and 90% how we react to it.,0,2024-02-20,0:34
399,399,Story,The best way to predict the future is to create it.,1,2024-01-29,10:19
400,400,Message,The only way to achieve the impossible is to believe it is possible.,0,2024-01-23,17:55
401,401,Story,but so are you.,0,2024-02-27,0:48
402,402,Message,Success is walking from failure to failure with no loss of enthusiasm.,0,2024-01-21,3:55
403,403,Story,The only way to achieve the impossible is to believe it is possible.,1,2024-02-07,20:21
404,404,Message,Be yourself,1,2024-02-08,21:22
405,405,Message,Believe you can and you're halfway there.,1,2024-02-21,6:40
406,406,Message,The early bird catches the worm.,0,2024-01-27,7:18
407,407,Story,and smarter than you think.,0,2024-01-12,14:15
